t,S,I
170,48.932587004339915,53.71844083467685
171,37.204515917843686,63.9827664356177
172,37.21356381058592,52.33520052312485
173,47.97087126160846,61.60841004811332
174,41.52629468613679,59.510826368617295
175,38.71218717465375,65.13766674000064
176,41.547679032704934,61.59439837408773
177,35.93356235294224,60.09801671269834
178,45.53949065091424,56.961577740300484
179,43.91901794976633,55.82290318951652
180,43.13869970063624,57.569160050678946
181,49.301690750283385,60.86714588944663
182,44.16389377360839,62.77664837699258
183,40.11597769590879,54.557916480495294
184,50.40566779475462,58.16530793274177
185,37.17266035797219,53.99569143508696
186,47.89178614761384,57.63913128457105
187,39.785827906207366,63.362409192231695
188,45.41644335615041,63.77887967240897
189,42.32306578106076,62.21178684010728
190,45.452568131957314,58.970181952452236
191,37.61673957827724,56.2270998017891
192,46.03894266870056,56.982560222840526
193,50.38972747350769,65.72120650499187
194,45.53883674111984,58.829465298282884
195,40.117121322302864,62.30060546139106
196,36.06619171204323,56.502840057106084
197,46.81678239429138,63.79739944785114
198,34.64464781304287,74.73357446229006
199,39.869063894420854,54.49538691752255
200,36.475534559150915,62.2001145693417
201,42.71814789982651,64.5057228352138
202,37.56727411818915,62.73154651590129
203,39.967684116552725,54.33997779149224
204,44.76838059374883,67.21971054964942
205,40.53915422341924,58.93334562585145
206,39.87288386572348,68.92409239033589
207,45.79800825326937,58.42152222319447
208,33.93572850718377,63.24619127028866
209,37.796921178411395,59.47487020209987
210,36.95135657346992,64.75480122496448
211,38.67419731734528,55.582461091495944
212,38.81934988190502,65.17022589559477
213,43.006348444901406,67.53590294840618
214,40.040385732074455,50.20761250268016
215,38.36025029471376,61.05291572133836
216,36.007346135964006,67.49333405771945
217,31.87116581000468,58.28362912200682
218,36.56853769134036,56.36484092731033
219,31.457127921677575,68.33195490693747
220,42.487219542690966,60.65295559894914
221,43.14855753975828,63.15520978297118
222,42.78161718822929,57.626631072257084
223,33.31716527233852,50.36746612733326
224,37.30458478051868,58.87953331621231
225,36.41206749059382,63.58765916610271
226,42.85789175947963,60.173263192561556
227,36.85717004912169,56.775607926832755
228,33.930415715294615,56.46656816156271
229,35.10915622951305,61.77359343898566
230,38.61395770823308,52.99067026401256
231,40.57509619193881,56.85277195652295
232,43.612785125098284,50.92091659892834
233,44.69381642985312,58.8807182605551
234,40.57724718399309,67.28718232528107
235,36.87536554870572,59.26674817632361
236,42.026870227960615,58.3786191722797
237,38.178998725084654,54.104035936066595
238,38.9126410638323,68.03882847397904
239,51.429290557975655,67.82444236377306
240,34.035654018812956,53.33532617384049
241,35.66240312991635,58.797448613632696
242,38.5813180276876,55.48896693185759
243,29.229136522987726,55.38851993823558
244,35.58150673241796,64.64559032790098
245,43.19940009679193,59.955343970936646
246,40.75661726090277,74.15532749928238
247,37.215360314218955,65.12733234258614
248,38.08829617592737,59.75698126106514
249,35.64721497023313,56.15369718113919
250,44.9425440307423,52.80978952757144
251,29.344068458698885,68.68217345062776
252,35.037617866794264,57.480454037747236
253,40.166482196338904,63.93895793049858
254,34.867774206628894,59.91589729514408
255,32.23935147282049,65.16826693227014
256,39.483088921519325,60.07295335601003
257,42.31168749702514,58.88475090199864
258,34.8477967785826,55.18393720120419
259,42.345906591961466,60.393757501051645
260,45.256977797658074,53.4300004873911
261,34.62296846442102,57.43614048642326
262,40.25810346611899,56.652645744743985
263,36.16162224270293,60.599033347998244
264,44.655500784780735,58.09827766828689
265,42.29323095470986,68.41564900311475
266,44.92938613887003,54.19574672743703
267,43.250359002089354,61.92242512056529
268,44.30567984226735,55.11494676786373
269,49.045995837886345,51.82989567618753
270,40.992518027556706,57.96081179305335
271,36.464254313229105,57.15592000186713
272,37.70888853337943,58.93187675897877
273,33.13257655246274,55.83939087267284
274,44.69033267414803,67.67352532415381
275,48.011548140116886,47.57165746825032
276,49.20671422104595,61.38521234718655
277,34.94181387641834,60.9453849644486
278,34.5613178704822,64.22203439997185
279,49.09232113290654,60.50095278299236
280,37.65008888018125,67.01280087451428
281,40.69762814352126,53.64368814886227
282,37.691852601038384,62.50107563885625
283,34.38585624608527,61.64683610311742
284,34.99440492835795,68.66762479984223
285,38.85942216262359,63.23860377858878
286,39.018459834251615,70.43456042661649
287,35.761757442738684,64.4992680997188
288,36.0290533895316,58.98091468803879
289,39.13659662029407,68.52771624225043
290,40.52920565443994,54.940507218486026
291,48.86465920353208,62.709561015077824
292,46.51619370310759,57.135754104134584
293,33.250290460976956,57.66683897566942
294,42.390501741309,66.62636661575125
295,39.91220001423998,58.42218938948273
296,33.29222486456919,70.03614307503328
297,45.79042634930429,67.66301099640282
298,37.70990056397393,54.37276519855781
299,34.079803805095615,59.518699986461606
