t,S,I,R
319,46730733.98137213,2344.0,54883.01862786491
320,46730371.98137213,2525.0,55064.01862786491
321,46730467.98137213,2280.0,55213.01862786491
322,46730467.98137213,2280.0,55213.01862786491
323,46730840.98137213,1907.0,55213.01862786491
324,46730497.98137213,1916.0,55547.01862786491
325,46730257.98137213,1896.0,55807.01862786491
326,46729901.98137213,2074.0,55985.01862786491
327,46729649.98137213,2200.0,56111.01862786491
328,46730038.98137213,1811.0,56111.01862786491
329,46730426.98137213,1423.0,56111.01862786491
330,46730621.98137213,1228.0,56111.01862786491
331,46730206.98137213,1345.0,56409.01862786491
332,46729715.98137213,1516.0,56729.01862786491
333,46729221.98137213,1763.0,56976.01862786491
334,46728925.98137213,1911.0,57124.01862786491
335,46729259.98137213,1577.0,57124.01862786491
336,46729519.98137213,1317.0,57124.01862786491
337,46729697.98137213,1139.0,57124.01862786491
338,46729341.98137213,1254.0,57365.01862786491
339,46728637.98137213,1606.0,57717.01862786491
340,46728637.98137213,1606.0,57717.01862786491
341,46728147.98137213,1851.0,57962.01862786491
342,46728047.98137213,1752.0,58161.01862786491
343,46728367.98137213,1432.0,58161.01862786491
344,46728614.98137213,1185.0,58161.01862786491
345,46727960.98137213,1438.0,58562.01862786491
346,46727144.98137213,1846.0,58970.01862786491
347,46726754.98137213,2041.0,59165.01862786491
348,46726352.98137213,2242.0,59366.01862786491
349,46726123.98137213,2236.0,59601.01862786491
350,46726475.98137213,1884.0,59601.01862786491
351,46726475.98137213,1884.0,59601.01862786491
352,46725810.98137213,2094.0,60056.01862786491
353,46725201.98137213,2299.0,60460.01862786491
354,46724273.98137213,2763.0,60924.01862786491
355,46723465.98137213,3167.0,61328.01862786491
356,46723066.98137213,3166.0,61728.01862786491
357,46723474.98137213,2758.0,61728.01862786491
358,46723669.98137213,2563.0,61728.01862786491
359,46722336.98137213,3129.0,62495.01862786491
360,46721399.98137213,3480.0,63081.01862786491
361,46720405.98137213,3977.0,63578.01862786491
362,46719375.98137213,4492.0,64093.01862786491
363,46718804.98137213,4550.0,64606.01862786491
364,46719208.98137213,4146.0,64606.01862786491
365,46719672.98137213,3682.0,64606.01862786491
366,46718552.98137213,4040.0,65368.01862786491
367,46717504.98137213,4364.0,66092.01862786492
368,46716374.98137213,4929.0,66657.01862786492
369,46715510.98137213,5361.0,67089.01862786492
370,46715109.98137213,5178.0,67673.01862786492
371,46715695.98137213,4592.0,67673.01862786492
372,46716192.98137213,4095.0,67673.01862786492
373,46714889.98137213,4489.0,68582.01862786492
374,46713870.98137213,4742.0,69348.01862786492
375,46712584.98137213,5385.0,69991.01862786492
376,46711558.98137213,5898.0,70504.01862786492
377,46711260.98137213,5666.0,71034.01862786492
378,46711984.98137213,4942.0,71034.01862786492
379,46712549.98137213,4377.0,71034.01862786492
380,46711577.98137213,4647.0,71736.01862786492
381,46711101.98137213,4593.0,72266.01862786492
382,46710427.98137213,4930.0,72603.01862786492
383,46709651.98137213,5318.0,72991.01862786492
384,46709766.98137213,4806.0,73388.01862786492
385,46710532.98137213,4040.0,73388.01862786492
386,46711175.98137213,3397.0,73388.01862786492
387,46710618.98137213,3419.0,73923.01862786492
388,46710262.98137213,3332.0,74366.01862786492
389,46709484.98137213,3721.0,74755.01862786492
390,46708794.98137213,4066.0,75100.01862786492
391,46708838.98137213,3693.0,75429.01862786492
392,46709368.98137213,3163.0,75429.01862786492
393,46709705.98137213,2826.0,75429.01862786492
394,46709159.98137213,2905.0,75896.01862786492
395,46709172.98137213,2700.0,76088.01862786492
396,46708280.98137213,3146.0,76534.01862786492
397,46707772.98137213,3400.0,76788.01862786492
398,46707033.98137213,3502.0,77425.01862786492
399,46707476.98137213,3059.0,77425.01862786492
400,46707865.98137213,2670.0,77425.01862786492
401,46707614.98137213,2623.0,77723.01862786492
402,46707361.98137213,2585.0,78014.01862786492
403,46706893.98137213,2819.0,78248.01862786492
404,46706645.98137213,2943.0,78372.01862786492
405,46706766.98137213,2649.0,78545.01862786492
406,46706958.98137213,2457.0,78545.01862786492
407,46707404.98137213,2011.0,78545.01862786492
408,46707326.98137213,1923.0,78711.01862786492
409,46707681.98137213,1427.0,78852.01862786492
410,46707225.98137213,1655.0,79080.01862786492
411,46706991.98137213,1772.0,79197.01862786492
412,46707289.98137213,1474.0,79197.01862786492
413,46707580.98137213,1183.0,79197.01862786492
414,46707814.98137213,949.0,79197.01862786492
415,46706672.98137213,1458.0,79830.01862786492
416,46706443.98137213,1486.0,80031.01862786492
417,46706443.98137213,1486.0,80031.01862786492
418,46705091.98137213,2162.0,80707.01862786492
419,46704077.98137213,2586.0,81297.01862786492
420,46704218.98137213,2445.0,81297.01862786492
421,46704446.98137213,2217.0,81297.01862786492
422,46704185.98137213,2289.0,81486.01862786492
423,46703973.98137213,2395.0,81592.01862786492
424,46703665.98137213,2549.0,81746.01862786492
425,46703501.98137213,2631.0,81828.01862786492
426,46704134.98137213,1998.0,81828.01862786492
427,46704021.98137213,1954.0,81985.01862786492
428,46704021.98137213,1954.0,81985.01862786492
429,46704527.98137213,1363.0,82070.01862786492
430,46704861.98137213,901.0,82198.01862786492
431,46704609.98137213,1027.0,82324.01862786492
432,46704325.98137213,1169.0,82466.01862786492
433,46704216.98137213,1129.0,82615.01862786492
434,46704322.98137213,1023.0,82615.01862786492
435,46704476.98137213,869.0,82615.01862786492
436,46704164.98137213,984.0,82812.01862786492
437,46703964.98137213,1084.0,82912.01862786492
438,46703859.98137213,1058.0,83043.01862786492
439,46703607.98137213,1184.0,83169.01862786492
440,46703494.98137213,1198.0,83268.01862786492
441,46703622.98137213,1070.0,83268.01862786492
442,46703748.98137213,944.0,83268.01862786492
443,46703648.98137213,923.0,83389.01862786492
444,46703797.98137213,774.0,83389.01862786492
445,46703273.98137213,1036.0,83651.01862786492
446,46703009.98137213,1168.0,83783.01862786492
447,46703016.98137213,1066.0,83878.01862786492
448,46703116.98137213,966.0,83878.01862786492
449,46703247.98137213,835.0,83878.01862786492
450,46703079.98137213,856.0,84025.01862786492
451,46702944.98137213,874.0,84142.01862786492
452,46702768.98137213,962.0,84230.01862786492
453,46702494.98137213,1099.0,84367.01862786492
454,46702343.98137213,1114.0,84503.01862786492
455,46702343.98137213,1114.0,84503.01862786492
456,46702605.98137213,852.0,84503.01862786492
457,46702583.98137213,797.0,84580.01862786492
458,46702466.98137213,808.0,84686.01862786492
459,46702132.98137213,975.0,84853.01862786492
460,46701812.98137213,1135.0,85013.01862786492
461,46701827.98137213,1054.0,85079.01862786492
462,46701944.98137213,937.0,85079.01862786492
463,46702032.98137213,849.0,85079.01862786492
464,46701963.98137213,815.0,85182.01862786492
465,46701689.98137213,884.0,85387.01862786492
466,46701473.98137213,992.0,85495.01862786492
467,46701327.98137213,1065.0,85568.01862786492
468,46701288.98137213,1046.0,85626.01862786492
469,46701394.98137213,940.0,85626.01862786492
470,46701561.98137213,773.0,85626.01862786492
471,46701535.98137213,706.0,85719.01862786492
472,46701461.98137213,710.0,85789.01862786492
473,46701329.98137213,776.0,85855.01862786492
474,46701263.98137213,809.0,85888.01862786492
475,46701328.98137213,725.0,85907.01862786492
476,46701533.98137213,520.0,85907.01862786492
477,46701641.98137213,412.0,85907.01862786492
478,46701532.98137213,430.0,85998.01862786492
479,46701410.98137213,462.0,86088.01862786492
480,46701302.98137213,516.0,86142.01862786492
481,46701236.98137213,549.0,86175.01862786492
482,46701295.98137213,473.0,86192.01862786492
483,46701365.98137213,403.0,86192.01862786492
484,46701431.98137213,337.0,86192.01862786492
485,46701368.98137213,352.0,86240.01862786492
486,46701327.98137213,363.0,86270.01862786492
487,46701195.98137213,429.0,86336.01862786492
488,46701195.98137213,429.0,86336.01862786492
489,46700994.98137213,484.0,86482.01862786492
490,46701082.98137213,395.0,86483.01862786492
491,46701136.98137213,341.0,86483.01862786492
492,46701089.98137213,348.0,86523.01862786492
493,46700960.98137213,404.0,86596.01862786492
494,46700914.98137213,427.0,86619.01862786492
495,46700648.98137213,560.0,86752.01862786492
496,46700624.98137213,548.0,86788.01862786492
497,46700654.98137213,518.0,86788.01862786492
498,46700720.98137213,452.0,86788.01862786492
499,46700688.98137213,468.0,86804.01862786492
500,46700710.98137213,384.0,86866.01862786492
501,46700639.98137213,419.0,86902.01862786492
502,46700601.98137213,438.0,86921.01862786492
503,46700605.98137213,416.0,86939.01862786492
504,46700678.98137213,343.0,86939.01862786492
505,46700701.98137213,320.0,86939.01862786492
506,46700760.98137213,224.0,86976.01862786492
507,46700736.98137213,218.0,87006.01862786492
508,46700678.98137213,247.0,87035.01862786492
509,46700642.98137213,265.0,87053.01862786492
510,46700632.98137213,262.0,87066.01862786492
511,46700694.98137213,200.0,87066.01862786492
512,46700730.98137213,164.0,87066.01862786492
513,46700729.98137213,155.0,87076.01862786492
514,46700667.98137213,177.0,87116.01862786492
515,46700575.98137213,223.0,87162.01862786492
516,46700559.98137213,231.0,87170.01862786492
517,46700540.98137213,222.0,87198.01862786492
518,46700570.98137213,192.0,87198.01862786492
519,46700599.98137213,163.0,87198.01862786492
520,46700571.98137213,168.0,87221.01862786492
521,46700548.98137213,173.0,87239.01862786492
522,46700514.98137213,190.0,87256.01862786492
523,46700458.98137213,218.0,87284.01862786492
524,46700456.98137213,214.0,87290.01862786492
525,46700496.98137213,174.0,87290.01862786492
526,46700542.98137213,128.0,87290.01862786492
527,46700516.98137213,137.0,87307.01862786492
528,46700518.98137213,122.0,87320.01862786492
529,46700498.98137213,132.0,87330.01862786492
530,46700416.98137213,173.0,87371.01862786492
531,46700415.98137213,162.0,87383.01862786492
532,46700433.98137213,144.0,87383.01862786492
533,46700450.98137213,127.0,87383.01862786492
534,46700432.98137213,122.0,87406.01862786492
535,46700380.98137213,145.0,87435.01862786492
536,46700344.98137213,163.0,87453.01862786492
537,46700288.98137213,191.0,87481.01862786492
538,46700251.98137213,201.0,87508.01862786492
539,46700264.98137213,188.0,87508.01862786492
540,46700274.98137213,178.0,87508.01862786492
541,46700221.98137213,184.0,87555.01862786492
542,46700123.98137213,227.0,87610.01862786492
543,46699977.98137213,300.0,87683.01862786492
544,46699885.98137213,346.0,87729.01862786492
545,46699820.98137213,367.0,87773.01862786492
546,46699849.98137213,338.0,87773.01862786492
547,46699867.98137213,320.0,87773.01862786492
548,46699581.98137213,449.0,87930.01862786492
549,46699348.98137213,552.0,88060.01862786492
550,46699206.98137213,623.0,88131.01862786492
551,46699032.98137213,710.0,88218.01862786492
552,46698929.98137213,738.0,88293.01862786492
553,46698984.98137213,683.0,88293.01862786492
554,46699057.98137213,610.0,88293.01862786492
555,46698865.98137213,683.0,88412.01862786492
