t,S,I,R
279,53325.19257544784,-5.800177494003202,946679.0918678526
280,53330.607862719946,-0.6178359750871926,946676.7799660695
281,53322.95769441521,-4.1685273414237916,946673.3296122827
282,53325.601618227294,8.1236637882537,946686.3651978503
283,53328.693608933645,-0.7718254243116586,946672.4577870689
284,53325.66325988185,13.793632789400347,946672.4320176143
285,53327.26391668654,-2.586952528707976,946670.8664305602
286,53324.21619311444,-5.779783337318347,946677.3132633347
287,53321.399130613994,5.581565079939647,946677.1034688835
288,53332.3453058607,-3.233213785421922,946672.7193109991
289,53328.14576611963,1.2532338037545399,946669.8263587964
290,53329.29440107049,9.489330661919027,946675.0969753126
291,53326.8873853834,2.4662847533571015,946679.3774497914
292,53323.582044699935,-2.6188460603899464,946677.6642688214
293,53318.70978289399,-1.9157740383335422,946676.6241850875
294,53326.070273190606,-6.560168804624593,946672.7021446109
295,53318.986106459226,-6.037130009182074,946670.7427366918
296,53323.58818497571,2.294001800438745,946670.0047783566
297,53331.03196283402,6.275510949752914,946676.3700499446
298,53323.117920237324,8.833567480820408,946674.9264758844
299,53313.66823478572,-0.9385878974463584,946670.0361910427
